poi_id_1,name_1,name_en_1,category_1,poi_id_2,name_2,name_en_2,category_2,cluster_id,distance_km,root_overlap_score,same_category,importance_1,importance_2,group_decision,group_type,family_name,entity_name,notes
175517661,Mahmut Paşa Camii,,attraction,6390364,Rüstem Paşa Medresesi,,historic,12,0.23758711651026035,0.5,0,0.7001537174702,0.657674545017853,,,,,
103953125,Sultan Ahmet Türbesi,Tomb of Sultan Ahmed I,attraction,109836395,Sultan III. Murad Türbesi,Mausoleum of Sultan Murad III,historic,12,0.2409720258279723,0.5,0,0.8358979261397337,0.8041543523982415,,,,,
1423624916,Kuşluk Köşkü,,historic,225470899,II. Hareket Köşkü,,historic,12,0.24914847284678182,0.5,1,0.6606261921843108,0.6563807937639404,,,,,
165718178,Galata Mevlevihanesi Müzesi,Galata Dervish House Museum,museum,708327981,Galata citywalls,,historic,12,0.25208261652694497,0.5,0,0.6988050873461953,0.6347668799982107,,,,,
7568501,İstanbul Üniversitesi Edebiyat Fakültesi,Istanbul University Faculty of Letters,historic,110016988,İstanbul Üniversitesi Kapı Köşkü,,historic,12,0.25953426752256775,0.5,1,0.6291451703215596,0.6263409450360584,,,,,
1423624915,Dolmabahçe Sarayı Hazine Kapısı,,historic,1423624921,Koltuk Kapısı,,historic,12,0.2629226641750758,0.5,1,0.6998066330798159,0.6608637993223796,,,,,
527580309,Keçecizâde Fuad Paşa Türbesi,Turbe of Keçecizâde Fuad Pasha,historic,3281285899,Mithat Paşa,,historic,12,0.2641677631653396,0.5,1,0.8210574583077491,0.7206554939357813,,,,,
103953125,Sultan Ahmet Türbesi,Tomb of Sultan Ahmed I,attraction,109836394,Sultan III. Mehmet Türbesi,Mausoleum of Sultan Mehmed III,historic,12,0.2682162300122773,0.5,0,0.8358979261397337,0.8003294918903925,,,,,
8120955,İbrahim Paşa Sarayı,Ibrahim Pasha Palace,historic,3281285899,Mithat Paşa,,historic,12,0.2703327190494855,0.5,1,0.8589147224356382,0.7206554939357813,,,,,
165718178,Galata Mevlevihanesi Müzesi,Galata Dervish House Museum,museum,23236783,Galata Kulesi,Galata Tower,attraction,12,0.2750591020207974,0.5,0,0.6988050873461953,0.6791555268577218,,,,,
111002508,Gazi Atik Ali Paşa Camii,,historic,175517661,Mahmut Paşa Camii,,attraction,12,0.2806078001007328,0.5,0,0.715883033994211,0.7001537174702,,,,,
914394417,Dolmabahçe Sarayı İç Hazine Dairesi,Clock Museum,museum,1043098720,Musahiban Dairesi,,historic,12,0.2813344132759825,0.5,0,0.7442553795490467,0.6564107854679812,,,,,
329062194,Sultan 2. Mahmut Türbesi,Mausoleum of Sultan Mahmud II,historic,5244807872,Karababa Türbesi,,historic,12,0.2846240743119896,0.5,1,0.7990432221724273,0.7024260330596697,,,,,
13385771384,II. Abdülhamid Türbesi,,historic,5244807872,Karababa Türbesi,,historic,12,0.28671816619822454,0.5,1,0.7953630943761127,0.7024260330596697,,,,,
