poi_id,name,category,lat,lon,category_clean
8319877715,Kennedy Parkı,leisure:park,40.9889188,28.9145527,park
8330028656,Korugan,historic:ruins,41.1085597,28.5523747,historic
8330074651,Korugan,historic:ruins,41.1081279,28.5515726,historic
8330256189,Korugan,historic:ruins,41.1181358,28.5476668,historic
8330256190,Korugan,historic:ruins,41.1170005,28.5483993,historic
8330277241,Korugan,historic:ruins,41.0913516,28.5672647,historic
8330277242,Korugan,historic:ruins,41.0918764,28.5663517,historic
8330278862,Korugan,historic:ruins,41.0975839,28.5487738,historic
8330278863,Korugan,historic:ruins,41.1029987,28.5427556,historic
8330278864,Korugan,historic:ruins,41.0886182,28.5567259,historic
8418045788,Basketbol Sahası,leisure:park,41.0047921,28.9219109,park
8442630599,Zamran Software Web Tasarım Hizmetleri,tourism:attraction,40.9874199,28.7076407,attraction
8494761225,Kuzcunkuk,tourism:attraction,41.0361138,29.0303873,attraction
8513106258,Kadife sokak,tourism:attraction,40.986833,29.026761,attraction
8615572144,Mahmut Baba Türbesi,historic:tomb,40.9913443,29.0347259,historic
8615579901,Mehmed Kemal Bey sepulchral monument,historic:memorial,40.9915271,29.0347446,historic
8680809215,İnadiye Çeşmesi,historic:monument,41.0168678,29.0182018,historic
8699169212,PTT Müzesi,tourism:museum,41.0147153,28.9738991,museum
8735018410,Mehmet Akif Ersoy Parkı,leisure:park,41.0077677,28.9754453,park
8827090499,Ayten Sokak Parkı,leisure:park,41.0468441,28.920785,park
8856631073,Sinpaş Time ve Park Sitesi,leisure:park,41.0034089,29.1165886,park
8916085609,Gate of Rhegion,historic:yes,41.014097,28.92199,historic
8916085610,Gate of Rhegion,historic:yes,41.0140859,28.9220687,historic
8946499525,Cebeci Köyü Rum Kilisesi Kalıntıları,historic:church,41.1223229,28.8837706,historic
8979990879,Avasköyü Yolu Mahalle Parkı,leisure:park,41.0609042,28.8927979,park
8979990880,Avasköy Yolu Parkı,leisure:park,41.0606369,28.8932685,park
8988348786,Spor Parkı,leisure:park,41.0634907,28.9067234,park
8990639667,323 SokakParkı,leisure:park,41.068801,28.8999243,park
